2017-01-19 14:41:13.298 | INFO | HHH000037: Columns: [name_short_py, times, name, id, name_full_py] | main | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:66 
2017-01-19 14:41:13.299 | INFO | HHH000108: Foreign keys: [] | main | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:68 
2017-01-19 14:41:13.300 | INFO | HHH000126: Indexes: [primary] | main | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:69 
2017-01-19 14:41:13.320 | INFO | HHH000261: Table found: wetech_cms.t_role | main | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:65 
2017-01-19 14:41:13.321 | INFO | HHH000037: Columns: [role_type, name, id] | main | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:66 
2017-01-19 14:41:13.322 | INFO | HHH000108: Foreign keys: [] | main | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:68 
2017-01-19 14:41:13.322 | INFO | HHH000126: Indexes: [primary] | main | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:69 
2017-01-19 14:41:13.346 | INFO | HHH000261: Table found: wetech_cms.t_topic | main | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:65 
2017-01-19 14:41:13.347 | INFO | HHH000037: Columns: [summary, thumb, author, cname, channel_pic_id, recommend, title, content, uid, id, create_date, keyword, publish_date, status, cid] | main | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:66 
2017-01-19 14:41:13.347 | INFO | HHH000108: Foreign keys: [fka10609a452119f24, fka10609a4d7ddc618] | main | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:68 
2017-01-19 14:41:13.348 | INFO | HHH000126: Indexes: [fka10609a452119f24, fka10609a4d7ddc618, primary] | main | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:69 
2017-01-19 14:41:13.366 | INFO | HHH000261: Table found: wetech_cms.t_user | main | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:65 
2017-01-19 14:41:13.366 | INFO | HHH000037: Columns: [password, phone, nickname, id, create_date, email, status, username] | main | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:66 
2017-01-19 14:41:13.367 | INFO | HHH000108: Foreign keys: [] | main | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:68 
2017-01-19 14:41:13.367 | INFO | HHH000126: Indexes: [primary] | main | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:69 
2017-01-19 14:41:13.382 | INFO | HHH000261: Table found: wetech_cms.t_user_group | main | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:65 
2017-01-19 14:41:13.383 | INFO | HHH000037: Columns: [g_id, u_id, id] | main | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:66 
2017-01-19 14:41:13.384 | INFO | HHH000108: Foreign keys: [fk300645b652467bf9, fk300645b6ef562c89] | main | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:68 
2017-01-19 14:41:13.384 | INFO | HHH000126: Indexes: [fk300645b652467bf9, fk300645b6ef562c89, primary] | main | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:69 
2017-01-19 14:41:13.400 | INFO | HHH000261: Table found: wetech_cms.t_user_role | main | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:65 
2017-01-19 14:41:13.400 | INFO | HHH000037: Columns: [u_id, id, r_id] | main | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:66 
2017-01-19 14:41:13.401 | INFO | HHH000108: Foreign keys: [fk331dee5f52467bf9, fk331dee5f5243b387] | main | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:68 
2017-01-19 14:41:13.401 | INFO | HHH000126: Indexes: [fk331dee5f52467bf9, fk331dee5f5243b387, primary] | main | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:69 
2017-01-19 14:41:13.403 | INFO | HHH000232: Schema update complete | main | org.hibernate.tool.hbm2ddl.SchemaUpdate.execute | SchemaUpdate.java:240 
2017-01-19 14:41:13.588 | INFO | Using DataSource [org.apache.commons.dbcp2.BasicDataSource@1972346b] of Hibernate SessionFactory for HibernateTransactionManager | main | org.springframework.orm.hibernate4.HibernateTransactionManager.afterPropertiesSet | HibernateTransactionManager.java:360 
2017-01-19 14:41:14.014 | INFO | Root WebApplicationContext: initialization completed in 4027 ms | main | org.springframework.web.context.ContextLoader.initWebApplicationContext | ContextLoader.java:345 
2017-01-19 14:41:22.518 | INFO | FrameworkServlet 'cms': initialization started | qtp728746911-24 | org.springframework.web.servlet.DispatcherServlet.initServletBean | FrameworkServlet.java:489 
2017-01-19 14:41:22.525 | INFO | Refreshing WebApplicationContext for namespace 'cms-servlet': startup date [Thu Jan 19 14:41:22 CST 2017]; parent: Root WebApplicationContext | qtp728746911-24 | org.springframework.web.context.support.XmlWebApplicationContext.prepareRefresh | AbstractApplicationContext.java:581 
2017-01-19 14:41:22.526 | INFO | Loading XML bean definitions from ServletContext resource [/WEB-INF/cms-servlet.xml] | qtp728746911-24 | org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions | XmlBeanDefinitionReader.java:317 
2017-01-19 14:41:22.772 | INFO | Dwr classpath scanning detected candidate bean [tech.wetech.cms.dwr.DwrService#0]. Remoting using dwrService | qtp728746911-24 | org.directwebremoting.spring.DwrClassPathBeanDefinitionScanner.registerBeanDefinition | DwrClassPathBeanDefinitionScanner.java:89 
2017-01-19 14:41:22.868 | INFO | Detected candidate bean [tech.wetech.cms.dwr.DwrService#0]. Remoting using dwrService | qtp728746911-24 | org.directwebremoting.spring.DwrAnnotationPostProcessor.postProcessBeanFactory | DwrAnnotationPostProcessor.java:65 
2017-01-19 14:41:22.869 | INFO | [dwrService] remote bean definition already detected. Invalid mixed use of <dwr:annotation-config /> and <dwr:annotation-scan />? Re-scanned package? | qtp728746911-24 | org.directwebremoting.spring.namespace.CreatorParserHelper.registerCreator | CreatorParserHelper.java:128 
2017-01-19 14:41:22.871 | INFO | JSR-330 'javax.inject.Inject' annotation found and supported for autowiring | qtp728746911-24 | org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor.<init> | AutowiredAnnotationBeanPostProcessor.java:155 
2017-01-19 14:41:23.135 | INFO | Mapped "{[/admin]}" onto public java.lang.String tech.wetech.cms.controller.AdminController.main() | qtp728746911-24 | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping.register | AbstractHandlerMethodMapping.java:543 
2017-01-19 14:41:23.137 | INFO | Mapped "{[/admin/logout]}" onto public java.lang.String tech.wetech.cms.controller.AdminController.logout(javax.servlet.http.HttpSession) | qtp728746911-24 | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping.register | AbstractHandlerMethodMapping.java:543 
2017-01-19 14:41:23.141 | INFO | Mapped "{[/admin/backup/add]}" onto public tech.wetech.cms.web.ResponseData tech.wetech.cms.controller.BackupController.add(java.lang.String) | qtp728746911-24 | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping.register | AbstractHandlerMethodMapping.java:543 
2017-01-19 14:41:23.142 | INFO | Mapped "{[/admin/backup/delete]}" onto public tech.wetech.cms.web.ResponseData tech.wetech.cms.controller.BackupController.delete(java.lang.String) | qtp728746911-24 | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping.register | AbstractHandlerMethodMapping.java:543 
2017-01-19 14:41:23.142 | INFO | Mapped "{[/admin/backup/resume]}" onto public tech.wetech.cms.web.ResponseData tech.wetech.cms.controller.BackupController.resume(java.lang.String) | qtp728746911-24 | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping.register | AbstractHandlerMethodMapping.java:543 
2017-01-19 14:41:23.143 | INFO | Mapped "{[/admin/backup/listBackups]}" onto public java.util.List<tech.wetech.basic.model.BackupFile> tech.wetech.cms.controller.BackupController.list() | qtp728746911-24 | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping.register | AbstractHandlerMethodMapping.java:543 
2017-01-19 14:41:23.143 | INFO | Mapped "{[/admin/backup/backup || /admin/backup/ || /admin/backup]}" onto public java.lang.String tech.wetech.cms.controller.BackupController.backup(org.springframework.ui.Model) | qtp728746911-24 | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping.register | AbstractHandlerMethodMapping.java:543 
2017-01-19 14:41:23.155 | INFO | Mapped "{[/admin/channel/add],methods=[POST]}" onto public tech.wetech.cms.web.ResponseData tech.wetech.cms.controller.ChannelController.add(java.lang.Integer,tech.wetech.cms.model.Channel,org.springframework.validation.BindingResult) | qtp728746911-24 | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping.register | AbstractHandlerMethodMapping.java:543 
2017-01-19 14:41:23.156 | INFO | Mapped "{[/admin/channel/add/{pid}],methods=[GET]}" onto public java.lang.String tech.wetech.cms.controller.ChannelController.add(java.lang.Integer,org.springframework.ui.Model) | qtp728746911-24 | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping.register | AbstractHandlerMethodMapping.java:543 
2017-01-19 14:41:23.157 | INFO | Mapped "{[/admin/channel/add/{pid}],methods=[POST]}" onto public java.lang.String tech.wetech.cms.controller.ChannelController.add(java.lang.Integer,tech.wetech.cms.model.Channel,org.springframework.validation.BindingResult,org.springframework.ui.Model) | qtp728746911-24 | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping.register | AbstractHandlerMethodMapping.java:543 
2017-01-19 14:41:23.157 | INFO | Mapped "{[/admin/channel/update/{id}],methods=[GET]}" onto public java.lang.String tech.wetech.cms.controller.ChannelController.update(java.lang.Integer,org.springframework.ui.Model) | qtp728746911-24 | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping.register | AbstractHandlerMethodMapping.java:543 
2017-01-19 14:41:23.157 | INFO | Mapped "{[/admin/channel/update/{id}],methods=[POST]}" onto public java.lang.String tech.wetech.cms.controller.ChannelController.update(java.lang.Integer,tech.wetech.cms.model.Channel,org.springframework.validation.BindingResult,org.springframework.ui.Model) | qtp728746911-24 | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping.register | AbstractHandlerMethodMapping.java:543 
2017-01-19 14:41:23.158 | INFO | Mapped "{[/admin/channel/delete/{pid}/{id}]}" onto public java.lang.String tech.wetech.cms.controller.ChannelController.delete(java.lang.Integer,java.lang.Integer,org.springframework.ui.Model) | qtp728746911-24 | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping.register | AbstractHandlerMethodMapping.java:543 
2017-01-19 14:41:23.158 | INFO | Mapped "{[/admin/channel/delete]}" onto public tech.wetech.cms.web.ResponseData tech.wetech.cms.controller.ChannelController.delete(java.lang.Integer,org.springframework.ui.Model) | qtp728746911-24 | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping.register | AbstractHandlerMethodMapping.java:543 
2017-01-19 14:41:23.159 | INFO | Mapped "{[/admin/channel/channels]}" onto public java.lang.String tech.wetech.cms.controller.ChannelController.list(org.springframework.ui.Model) | qtp728746911-24 | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping.register | AbstractHandlerMethodMapping.java:543 
2017-01-19 14:41:23.160 | INFO | Mapped "{[/admin/channel/treeAll]}" onto public java.util.List<tech.wetech.cms.model.ChannelTree> tech.wetech.cms.controller.ChannelController.tree() | qtp728746911-24 | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping.register | AbstractHandlerMethodMapping.java:543 
2017-01-19 14:41:23.160 | INFO | Mapped "{[/admin/channel/channel || /admin/channel/ || /admin/channel]}" onto public java.lang.String tech.wetech.cms.controller.ChannelController.channel(org.springframework.ui.Model) | qtp728746911-24 | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping.register | AbstractHandlerMethodMapping.java:543 
2017-01-19 14:41:23.161 | INFO | Mapped "{[/admin/channel/getChannelTree]}" onto public java.util.List<tech.wetech.cms.dto.TreeDto> tech.wetech.cms.controller.ChannelController.getChannelTree(java.lang.Integer) | qtp728746911-24 | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping.register | AbstractHandlerMethodMapping.java:543 
2017-01-19 14:41:23.161 | INFO | Mapped "{[/admin/channel/edit],methods=[POST]}" onto public tech.wetech.cms.web.ResponseData tech.wetech.cms.controller.ChannelController.edit(tech.wetech.cms.model.Channel,org.springframework.validation.BindingResult) | qtp728746911-24 | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping.register | AbstractHandlerMethodMapping.java:543 
2017-01-19 14:41:23.162 | INFO | Mapped "{[/admin/channel/channels/updateSort]}" onto public tech.wetech.cms.dto.AjaxObj tech.wetech.cms.controller.ChannelController.updateSort(java.lang.Integer[]) | qtp728746911-24 | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping.register | AbstractHandlerMethodMapping.java:543 
2017-01-19 14:41:23.163 | INFO | Mapped "{[/admin/channel/channels/{pid}]}" onto public java.lang.String tech.wetech.cms.controller.ChannelController.listChild(java.lang.Integer,java.lang.Integer,org.springframework.ui.Model) | qtp728746911-24 | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping.register | AbstractHandlerMethodMapping.java:543 
2017-01-19 14:41:23.166 | INFO | Mapped "{[/admin/cmsLink/add],methods=[POST]}" onto public tech.wetech.cms.web.ResponseData tech.wetech.cms.controller.CmsLinkController.add(tech.wetech.cms.model.CmsLink,org.springframework.validation.BindingResult) | qtp728746911-24 | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping.register | AbstractHandlerMethodMapping.java:543 
2017-01-19 14:41:23.167 | INFO | Mapped "{[/admin/cmsLink/update/{id}],methods=[GET]}" onto public java.lang.String tech.wetech.cms.controller.CmsLinkController.update(int,org.springframework.ui.Model) | qtp728746911-24 | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping.register | AbstractHandlerMethodMapping.java:543 
2017-01-19 14:41:23.168 | INFO | Mapped "{[/admin/cmsLink/update/{id}],methods=[POST]}" onto public java.lang.String tech.wetech.cms.controller.CmsLinkController.update(int,tech.wetech.cms.model.CmsLink,org.springframework.validation.BindingResult) | qtp728746911-24 | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping.register | AbstractHandlerMethodMapping.java:543 
2017-01-19 14:41:23.168 | INFO | Mapped "{[/admin/cmsLink/delete/{id}],methods=[GET]}" onto public java.lang.String tech.wetech.cms.controller.CmsLinkController.delete(int) | qtp728746911-24 | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping.register | AbstractHandlerMethodMapping.java:543 
2017-01-19 14:41:23.169 | INFO | Mapped "{[/admin/cmsLink/delete]}" onto public tech.wetech.cms.web.ResponseData tech.wetech.cms.controller.CmsLinkController.delete(java.lang.Long[]) | qtp728746911-24 | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping.register | AbstractHandlerMethodMapping.java:543 
2017-01-19 14:41:23.169 | INFO | Mapped "{[/admin/cmsLink/links]}" onto public java.lang.String tech.wetech.cms.controller.CmsLinkController.list(org.springframework.ui.Model,java.lang.String) | qtp728746911-24 | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping.register | AbstractHandlerMethodMapping.java:543 
2017-01-19 14:41:23.170 | INFO | Mapped "{[/admin/cmsLink/list]}" onto public java.util.Map<java.lang.String, java.lang.Object> tech.wetech.cms.controller.CmsLinkController.list(java.lang.String) | qtp728746911-24 | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping.register | AbstractHandlerMethodMapping.java:543 
2017-01-19 14:41:23.171 | INFO | Mapped "{[/admin/cmsLink/getMinAndMaxPos]}" onto public java.util.Map<java.lang.String, java.lang.Integer> tech.wetech.cms.controller.CmsLinkController.getMinAndMaxPos() | qtp728746911-24 | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping.register | AbstractHandlerMethodMapping.java:543 
2017-01-19 14:41:23.172 | INFO | Mapped "{[/admin/cmsLink/edit],methods=[POST]}" onto public tech.wetech.cms.web.ResponseData tech.wetech.cms.controller.CmsLinkController.edit(tech.wetech.cms.model.CmsLink,org.springframework.validation.BindingResult) | qtp728746911-24 | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping.register | AbstractHandlerMethodMapping.java:543 
2017-01-19 14:41:23.172 | INFO | Mapped "{[/admin/cmsLink/cmsLink || /admin/cmsLink/ || /admin/cmsLink]}" onto public java.lang.String tech.wetech.cms.controller.CmsLinkController.cmsLink(org.springframework.ui.Model) | qtp728746911-24 | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping.register | AbstractHandlerMethodMapping.java:543 
2017-01-19 14:41:23.173 | INFO | Mapped "{[/admin/cmsLink/listAllType]}" onto public java.util.List<java.lang.String> tech.wetech.cms.controller.CmsLinkController.listAllType() | qtp728746911-24 | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping.register | AbstractHandlerMethodMapping.java:543 
2017-01-19 14:41:23.174 | INFO | Mapped "{[/admin/cmsLink/{id}],methods=[GET]}" onto public java.lang.String tech.wetech.cms.controller.CmsLinkController.show(int,org.springframework.ui.Model) | qtp728746911-24 | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping.register | AbstractHandlerMethodMapping.java:543 
2017-01-19 14:41:23.179 | INFO | Mapped "{[/admin/group/group || /admin/group/ || /admin/group]}" onto public java.lang.String tech.wetech.cms.controller.GroupController.group(org.springframework.ui.Model) | qtp728746911-24 | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping.register | AbstractHandlerMethodMapping.java:543 
2017-01-19 14:41:23.180 | INFO | Mapped "{[/admin/group/add],methods=[POST]}" onto public tech.wetech.cms.web.ResponseData tech.wetech.cms.controller.GroupController.add(tech.wetech.cms.model.Group,org.springframework.validation.BindingResult) | qtp728746911-24 | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping.register | AbstractHandlerMethodMapping.java:543 
2017-01-19 14:41:23.181 | INFO | Mapped "{[/admin/group/add],methods=[GET]}" onto public java.lang.String tech.wetech.cms.controller.GroupController.add(org.springframework.ui.Model) | qtp728746911-24 | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping.register | AbstractHandlerMethodMapping.java:543 
2017-01-19 14:41:23.182 | INFO | Mapped "{[/admin/group/update/{id}],methods=[POST]}" onto public java.lang.String tech.wetech.cms.controller.GroupController.update(int,tech.wetech.cms.model.Group,org.springframework.validation.BindingResult) | qtp728746911-24 | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping.register | AbstractHandlerMethodMapping.java:543 
2017-01-19 14:41:23.182 | INFO | Mapped "{[/admin/group/update/{id}],methods=[GET]}" onto public java.lang.String tech.wetech.cms.controller.GroupController.update(int,org.springframework.ui.Model) | qtp728746911-24 | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping.register | AbstractHandlerMethodMapping.java:543 
2017-01-19 14:41:23.183 | INFO | Mapped "{[/admin/group/delete/{id}]}" onto public java.lang.String tech.wetech.cms.controller.GroupController.delete(int) | qtp728746911-24 | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping.register | AbstractHandlerMethodMapping.java:543 
2017-01-19 14:41:23.183 | INFO | Mapped "{[/admin/group/delete]}" onto public tech.wetech.cms.web.ResponseData tech.wetech.cms.controller.GroupController.delete(java.lang.Long[]) | qtp728746911-24 | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping.register | AbstractHandlerMethodMapping.java:543 
2017-01-19 14:41:23.184 | INFO | Mapped "{[/admin/group/list]}" onto public java.util.Map<java.lang.String, java.lang.Object> tech.wetech.cms.controller.GroupController.list() | qtp728746911-24 | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping.register | AbstractHandlerMethodMapping.java:543 
